主播名称,直播类型,观众数量
砂雾水蓝,使命召唤OL,212
莫假仙,怪物猎人 世界,212
柔情的卡秋莎,主机游戏,211
琉璃猫丶玻璃鼠,英雄联盟,211
v雯雯v,绝地求生,211
我要成为美少女呀,绝地求生,211
cchen2xx,绝地求生,211
呆滞De黎大帅,绝地求生,211
文先生iii,英雄联盟,211
主播张老表,绝地求生,211
丶队长哥,绝地求生,211
BackAtOne丶骚文,绝地求生,210
Rc空大女神经,英雄联盟,210
石头人丶弩哥,绝地求生,210
终极阿轰,英雄联盟,210
澄海3c皮皮,魔兽争霸,210
血花靥,饥荒,210
吴燕子123,荒岛特训,210
冖c冖,汽车,209
中午没吃饱,怀旧游戏,209
很美只撩她,天龙八部,209
陈武当,绝地求生,209
背包o,主机游戏,209
一颗大柠萌丶H,QQ飞车,209
梦断天,怀旧游戏,208
cChina三少,热门网游,208
cccb丶,视听点评,208
晨妹是晨妹的妹妹,篮球游戏,208
岩心心心心心,王者荣耀,208
龙哥牌室,棋牌娱乐,208
聪哥哥呀,穿越火线,208
小仙女的熊宝啊,绝地求生,208
LaughingL,绝地求生,207
神武小和尚,神武2,207
curiousss,荒岛特训,207
风行夏者,QQ飞车,207
凯里神2Kyrie,绝地求生,207
毒毒毒毒男啊,绝地求生,207
烦人精家的点点宝,综合手游,207
杀出一个黎明789,暗黑破坏神3,207
动漫世界丶jq,视听点评,206
他她Taa,怀旧游戏,206
狂在酷炫,音乐,206
釢鎷也就这样了,绝地求生,206
男人不化妆,主机游戏,206
不许欺负你刘叔叔,奇迹觉醒,206
青云丨大大丨,主机游戏,206
山鷄丶,足球竞技,206
犀利呐耗子丶,综合手游,205
颜丢丢Cc,绝地求生,205
莹莹是个小腊鸡,英雄联盟,205
溺水小鱼儿,怀旧游戏,205
樱落宝宝,视听点评,205
怪怪徐可可,颜值,205
幻想乡的蚂蚱,怪物猎人 世界,204
Any糖果泡泡,星际争霸,204
第二白,绝地求生,204
我还活着呐,主机游戏,204
CatMario666,绝地求生,204
sxjxzyf,绝地求生,204
林中司机丶春秋,绝地求生,204
以时光为眸情殇,王者荣耀,203
佛兰克先生,绝地求生,203
躺赢圆圆,篮球游戏,203
令人窒息的卡尔秀,DOTA2,203
打爆对面怪我咯i,英雄联盟,203
贝塔鼓捣坦克呢,绝地求生,203
随心的旅途,王者荣耀,202
醉卧小楼风吹雪,视听点评,202
十五阿,英雄联盟,202
慕容渊,DNF,202
小逆大大,主机游戏,202
Mars老张头,绝地求生,202
不交养路费,主机游戏,202
英国很美,魔兽争霸,202
Mtyan,怪物猎人 世界,202
弹弹弹弹弹丶鱼尾纹,王者荣耀,201
网瘾少女连喜儿,绝地求生,201
DY丶飛老师,神途,201
忧哥i,绝地求生,201
叫我夏神就好啦,英雄联盟,201
魔兽世界评级专场,魔兽世界,201
范德星,绝地求生,201
老虎欧巴Ming,绝地求生,201
C00L430,绝地求生,200
护手霜护手霜j570,炉石传说,200
纱布得到了,英雄联盟,200
王者盈呀QwQ,英雄联盟,200
安卓老毒丶,街头篮球,199
久歌吃鸡,问道,199
主持小好,怀旧游戏,199
berserkerboold,怪物猎人 世界,199
暴走兔兔兔,主机游戏,199
我是善感,英雄联盟,199
新忍村香蕉,魔兽争霸,198
GOGO小太阳,王者荣耀,198
典神i,王者荣耀,198
丨僵小鱼丨,鱼教,198
贤DIDA,绝地求生,198
lygstyle,星娱,198
ijlfnmqj,枪林弹雨,198
HX逸辰,绝地求生,198
言身寸A言身寸,军事游戏,198
与你执手听风吟,主机游戏,198
黄尾巴小鲒鱼,使命召唤OL,198
501笨笨,棋牌娱乐,198
SunShinERody,英雄联盟,198
心灵童子小哥,正能量,197
死胖宅,热门网游,197
大张鹏火帝嘎嘎,新游中心,197
脾气见长的夏天,军事游戏,197
随风の脚踏车,军事游戏,197
逆战丶老付,逆战,196
落地成盒的张一匣,绝地求生,196
小强去偷米,怀旧游戏,196
凤栖梧的天空,微信小游戏,196
Death灬,主机游戏,195
446524225,军事游戏,195
奥斯卡洋子,英雄联盟,195
姚姚是个小可爱,绝地求生,195
晓东科技,数码科技,195
jiameng337,二次元手游,195
Cucumbersunny,QQ飞车,195
苏诺宝宝的大粥碗,视听点评,194
米叔,视听点评,194
神灬样的流氓,综合手游,194
人到中年你谭叔,英雄联盟,194
新疆丶屎蛋儿,英雄联盟,194
QT5Yasuo,英雄联盟,194
黄金IX射手,棋牌娱乐,194
赛巴斯siR,绝地求生,194
MM杀,王者荣耀,194
小白菟菟菟,英雄联盟,194
诺诺诺诺诺崇丶,魔兽争霸,193
魂哥丶久久,怀旧游戏,193
大比哥对天宣战,神途,193
小亮佬坑哟,逆战,193
Chiu阿晨,绝地求生,193
Oppo活久见,热门网游,193
飞翔的胡渣子,绝地求生,193
不特别的凉涩涩,英雄联盟,193
叨乐儿,主机游戏,193
丶北柒,王者荣耀,193
阿弥陀佛葵爸爸,王者荣耀,193
绝地主播阿豪,绝地求生,193
这就是傲天啊,英雄联盟,193
ST涅槃,新游中心,192
allphy,绝地求生,192
大叔是助攻,主机游戏,192
有自己的风格,DNF,192
宿舍扫地阿姨,光荣使命,192
璇璇璇77,颜值,192
寒大侠好身手,楚留香,191
布兜Org,DOTA2,191
PLU烈火,主机游戏,191
查杀铆钉鱼的预言佳,绝地求生,191
小哥2k,主机游戏,191
小小年华m丶,绝地求生,191
欧巴锐雯,王者荣耀,191
韩国浩游助,科普,191
超级浪里小白龙,棋牌娱乐,191
一大只螳螂,英雄联盟,190
疲惫的香蕉,绝地求生,190
这名字挺唬人,绝地求生,190
不忘初心撒浪嘿,篮球游戏,190
丶清风染尘丶,剑网3,190
aaa很奇怪我爱你,主机游戏,190
锤石之神灬鬼哥,英雄联盟,190
寒阳liberty,主机游戏,190
HOPEzzE,英雄联盟,190
小明歸來,其他手游,189
小地地的Sao女心,英雄联盟,189
鏅村一一一一,棋牌娱乐,189
Yc挽风,荒岛特训,189
小超Trp,绝地求生,189
AAlian,棋牌娱乐,189
老虎脚,绝地求生,189
主播子濠,足球竞技,189
SbBaoEr,使命召唤OL,189
嘤嘤瑛,绝地求生,188
王嘉鑫,魂斗罗归来,188
bt9111,魔兽世界,188
SC网游,无尽战区,188
Wuhu1ronheadbaby,主机游戏,188
我叫许仙,野蛮人大作战,188
激萌小胖u,绝地求生,188
华仔09WOLF,绝地求生,188
白了个痴,视听点评,187
西门浪奇,王者荣耀,187
人生如戏灬1全靠演技,魂斗罗归来,187
烟鬼Queen丶,新游中心,187
Big大建,足球竞技,187
慕弥心丷,剑灵,186
婷儿姐带你飞,绝地求生,186
Tr0janCN,英雄联盟,186
小静茹baby,王者荣耀,186
阿南怪,英雄联盟,186
woo嗨,颜值,186
独孤宇文,正能量,185
472498丶小南啊,英雄联盟,185
陪你看天边彩虹,主机游戏,185
Eric小雨丶雨神,绝地求生,185
阿德猹小帅,英雄联盟,185
天神这人,绝地求生,185
hell丶帅,穿越火线,185
探长雷洛克,绝地求生,185
六年后的徐凤年,绝地求生,185
毛法爷,王者荣耀,184
哈哈哈哈哈哈轩,微信小游戏,184
繫統消息,饥荒,184
二二二班副,绝地求生,184
SKT灬流水,阴阳师,184
一个兔子To,主机游戏,184
摄情主播欧飞,梦幻西游,184
呦吼吼233,绝地求生,184
主播丶麻辣烫,视听点评,183
丨清爽绿茶丶,青春篮球,183
贱鱼QAQ,阴阳师,183
南征北战大美丽,CS:GO,183
桃安茹,绝地求生,183
磨磨头,二次元,183
HOC北北,综合手游,183
777帕青锅,视听点评,182
彡月夜彡,主机游戏,182
心塞到难以呼吸,音乐,182
pppua,主机游戏,182
东区墨,绝地求生,182
栗子910,绝地求生,182
那双腿间的温柔,王者荣耀,182
死神R,绝地求生,182
yuko熙哥灬,主机游戏,182
后悔无期期期期,星娱,182
第一提莫丶小鱼,英雄联盟,182
讦谯龙,英雄联盟,181
桃園奈奈酱,魔兽世界,181
呵嘞赤之欧皇说帝,户外,181
大大大鼻子薛夜,绝地求生,181
l灵蛇,荒岛特训,180
堕落一生666,剑网3,180
923037545,守望先锋,180
0taku丶丶,音乐,180
我叫王奶酪,主机游戏,180
吾王爱德千秋万世,绝地求生,180
花未败丶晴雨预筹谋,暗黑破坏神3,180
焖鸡铁板烧,QQ飞车,180
最帅的清歌歌,天涯明月刀,180
小狼Claus,主机游戏,180
私人定制影院,视听点评,179
凡尘2016我来了,综合手游,179
腾讯游戏家丶飘零,王者荣耀,178
孤独寻梦,传奇,178
3DMAX室内效果图教程,设计师,178
挫鸡汪汪汪,军事游戏,178
加油啊哦黑,英雄联盟,178
夏沫水果糖,传奇,178
醉爱丶那段情,魔兽世界,178
终级一哥,绝地求生,178
不高冷的呆萌菌,主机游戏,178
阿贤Samensy,绝地求生,178
totoRo小梅,DOTA2,178
任泉正清啊,绝地求生,178
时光渐淡,主机游戏,177
乜神丶冥王,街篮,177
花花大人丿,主机游戏,177
烟嗓少女小雅兮,绝地求生,177
空蝉焱羅,热门网游,177
怪物咩,英雄联盟,177
墨菊穆嵘,剑网3,177
hello徐牙牙,绝地求生,177
吾为灬邪月,绝地求生,177
80影视,视听点评,177
股票浪,财经,177
弥勒小熊熊,绝地求生,177
米歇尔四世,怪物猎人ol,177
诞玩,怪物猎人 世界,176
ysh556778,英雄联盟,176
红点M16a4,绝地求生,176
乡下生活,星娱,176
元宝是个怪人儿,狼人杀专区,176
让伱晕,主机游戏,176
mayuzhexd,怪物猎人 世界,176
金金中单很强哟,王者荣耀,176
000零灵凌,绝地求生,176
凉凉凉了心,光荣使命,175
漫天飞提莫,绝地求生,175
铁血战士失血过多,星际争霸,175
a铲屎,魂斗罗归来,175
三秋哟,热门网游,175
南哥的直播间,绝地求生,175
一棵青竹,阴阳师,174
丰总,足球竞技,174
追梦小sao年,绝地求生,174
毒尾绵心,绝地求生,174
G友a比伯卡特,英雄联盟,174
Shamgod24,绝地求生,174
为何孤独的像条狗,绝地求生,174
宇哥很烦恼,视听点评,173
森bucks,QQ飞车,173
槿夜r,王者荣耀,173
LegendofGod,魔兽争霸,173
老头酱sheep,怪物猎人 世界,173
神秘萝莉控,主机游戏,173
赢一起狂输一起扛,绝地求生,173
伦哥的天下,英雄联盟,173
dnf剑宗13姐,DNF,173
全泉1981,主机游戏,173
枸神Gosu,绝地求生,173
梦神哥,王者荣耀,173
bogeer一GG,绝地求生,172
殷大123,火影忍者,172
小帅sssss,绝地求生,172
夜览桃花路,猎魂觉醒,172
郭乐乐乐乐乐乐丶,英雄联盟,172
梅干菜哟,绝地求生,172
昆社会哥,英雄联盟,172
卑鄙的Kyler,绝地求生,172
zuozhixiang,怀旧游戏,172
蛋挞人,视听点评,171
乱玩JACK,英雄联盟,171
KaywemShaw,主机游戏,171
勤奋的小空城,绝地求生,171
大帅思密达丶,英雄联盟,171
老实巴交的黑瞳,英雄联盟,171
郭一夫,音乐游戏,171
binz1985,怀旧游戏,171
老修仙,主机游戏,171
素素爱吃鸡,绝地求生,171
爱吃鱼的小8,怪物猎人 世界,171
2286886954,QQ飞车,170
Dear王小二,英雄联盟,170
电竞美猴王小圣,绝地求生,170
老当益壮Asusu,魔兽世界,170
rty东邪,王者荣耀,170
ManT小馒头,视听点评,170
久爱久伴QQQQAQ,绝地求生,170
默丶默丶想,英雄联盟,170
微微008,绝地求生,170
瞬丶殺,怪物猎人 世界,169
爱吃水果的三哥,绝地求生,169
薄荷街的路人,守望先锋,169
amaris96,星娱,169
莱森汪,怀旧游戏,169
ANG丶Dogzzi,绝地求生,169
DAYZ大兄弟,绝地求生,169
笑宝家的呗勒爺,王者荣耀,169
君不悟H,热门网游,168
Cp阿威,篮球游戏,168
worenshini02,怪物猎人 世界,168
缘醉非罪,主机游戏,168
主播榆木,光荣使命,168
劳瑞森蛮王,英雄联盟,168
wmm1118,视听点评,167
你的劲哥和你们的班神,王者荣耀,167
王兮兮shirley,汽车,167
荒野行动忧伤哥,热门网游,167
1gou丶,绝地求生,167
都与有偶爱哦度,绝地求生,167
灬轻依,我的世界,167
橙子的徐瑞,DOTA2,167
Eminemchen,足球竞技,167
尊重or平等,绝地求生,167
吾乃斯令BABA,绝地求生,167
吾名荔枝,主机游戏,167
一刀一塔一场戏,王者荣耀,166
掌上Club,户外,166
暖风和,英雄联盟,166
我们养猫吧,二次元,166
打小朋友Van,神之浩劫,166
賈丶尐尨,怀旧游戏,166
彤三喵,二次元,166
大星Will,英雄联盟,166
Zz丶芍药,绝地求生,166
Magic木南,主机游戏,166
Amazon雯,英雄联盟,166
宇宙无敌超级帅X,主机游戏,166
星际DSA联赛,星际争霸,165
喜欢OB的白白C,绝地求生,165
COD将军,使命召唤OL,165
wussupDQ,绝地求生,165
真的强丶張大吹,绝地求生,165
朝阳群众路人乙,主机游戏,165
Immaturepride,绝地求生,165
三年的誓言,穿越火线,165
一生V精彩V电动车,捕鱼休闲,164
蓝溪蒂,三国杀,164
小鸡拉面,阴阳师,164
烈焰红唇鸡尾酒,英雄联盟,164
Love沁宝宝,棋牌娱乐,164
我叫ye良辰,怀旧游戏,164
宇宙宇宙聪聪,颜值,164
迦南Doc,王者荣耀,164
烟雨丶冷月,天涯明月刀,164
dragonrideriv,绝地求生,164
908274636,热门网游,164
谭嘉艺,英雄联盟,164
尼古拉斯丨黑蛋,绝地求生,164
重庆War3丶老王,魔兽争霸,164
吉格斯哟,绝地求生,164
华丽蹲着,暗黑破坏神3,164
细雨流年丶,主机游戏,163
欢乐兔丶,主机游戏,163
蕄蕄,王者荣耀,163
电竞神瞎丶骚仔,DNF,163
小甘蔗xiaoganzhe,竞速游戏,163
独孤磕,王者荣耀,163
可爱无敌骚话G,使命召唤OL,163
o新疆老刘o,户外,163
龍Mr麒ying,迷你世界,162
德州扑克弈栈江湖2台,棋牌娱乐,162
叫嚣老司机,街篮,162
安九月,QQ飞车,162
爱说笑i,绝地求生,162
Leoria,主机游戏,162
你值得拥有啊,其他手游,162
四水三木,绝地求生,162
婉婉的君,魔兽世界,162
贼贼贼贼贼lo,绝地求生,162
新的超越,DOTA,162
欣有所属2,绝地求生,162
小强专用之捕鱼,捕鱼休闲,161
允南军,新游中心,161
专属Dian,热门网游,161
钢铁侠80,绝地求生,161
手枪王子徐寒,穿越火线,161
怂怂的壮,英雄联盟,161
spiderjack,DOTA,161
最亮的黄瓜,主机游戏,161
暴力流人马,英雄联盟,161
Bruce洛琰,视听点评,160
竹墨染,热门网游,160
从来不洗澡脏,二次元,160
大大大纯白,怪物猎人 世界,160
北侧丶,魔兽世界,160
土娃丶,英雄联盟,160
宸爔,CS:GO,160
着迷style,CS:GO,160
NumBeroneXin,绝地求生,159
驰央丶tAudience,荒岛特训,159
新疆娱乐主播,足球竞技,159
我我我带我一个,主机游戏,159
汤秋千的小柴犬,英雄联盟,159
彧胤,王者荣耀,159
麦頭666,决斗之城,159
冯宝宝是个萌妹纸,绝地求生,159
SiLeNt丶小酒馆,DOTA2,159
心源精舍,鱼教,159
请叫我风采,魂斗罗归来,158
顺风浪逆风照样浪,王者荣耀,158
繁华尽落V,魔兽世界,158
Gay江户川,荒岛特训,158
哎吆喵喵喵,主机游戏,158
超级嗨呀人李大湿,怀旧游戏,158
新湘不吃苹果,绝地求生,158
用铅笔写爱情,鱼教,158
叫我炒饭大师好了,英雄联盟,158
拜托啦学妹520,鱼教,157
我特么是大神,绝地求生,157
上下山狐,鱼教,157
铁瓷哥,绝地求生,157
天才小橙汁,英雄联盟,157
杀杀杀杀杀杀不死,主机游戏,157
虐魔的乔哥,怀旧游戏,157
华萝,楚留香,156
Better赵66,王者荣耀,156
瞎子教盲僧玩儿李青,英雄联盟,156
Shuobai,主机游戏,156
怀揣一个你,数码科技,156
杼良1127,守望先锋,156
水绿哀木,绝地求生,156
调皮的小明同学吖,英雄联盟,156
骚骚辉,绝地求生,156
马小贱MXW,绝地求生,156
Olivia雪,绝地求生,156
娇娇妹儿撒,绝地求生,156
北鲲Cary,主机游戏,156
梦骑士1988,绝地求生,156
二智的黑驴Zrh,狼人杀专区,155
恒信科技,怀旧游戏,155
教父sing,英雄联盟,155
许文强户外九爷,户外,155
壹群人狂欢,绝地求生,155
欧皇乄小雅,DNF,155
Rex苏,主机游戏,155
怎么办好饿,阴阳师,155
绝地老爹,绝地求生,155
王翔宇阿,CS:GO,155
小硕哥哥,DOTA2,155
鹏鹏哥彡,绝地求生,155
雨泽451,视听点评,154
天使de谎颜,荒岛特训,154
丶与冬,绝地求生,154
50Centovo,绝地求生,154
阴子方,主机游戏,154
踢车帮,汽车,154
lijieda,竞速游戏,154
请叫我谢良辰iii,不思议迷宫,154
再见小咿呀,DOTA,154
无无无无无无丿,绝地求生,154
绯村心,主机游戏,154
驰央丶小黄,荒岛特训,154
至尊宝avi,魂斗罗归来,153
A重名真多,新游中心,153
Kio秋哥,怪物猎人 世界,153
伪物Polly,楚留香,153
奇迹山山,棋牌娱乐,153
幻小彩,绝地求生,153
请叫我丶中队长,音乐,153
a3214753,剑灵,153
黑豹的姐姐,绝地求生,153
羞射,英雄联盟,153
Y易呈,DNF,153
柒布情丷,逆战,153
猫是怎么死的,绝地求生,152
醉丶十二,狼人杀专区,152
90场所,二次元,152
万中无一你情哥,竞速游戏,152
服务器主机,其他手游,152
恶魔疯鸡,英雄联盟,151
K夕颜大小姐,绝地求生,151
阿依阿怡表情包,王者荣耀,151
lol国服第一沙皇,英雄联盟,151
在下坂本有嘛贵干,我的世界,151
biulalalu,风暴英雄,151
新来的水友爸爸,荒岛特训,151
宝爸酱,主机游戏,151
efec399e,群雄逐鹿,151
小小帅倾城,王者荣耀,151
宇智波阿斯玛,剑灵,151
白琳娜,篮球游戏,151
Crawlings,绝地求生,151
E2姐姐,逆战,151
时光飛逝,格斗游戏,150
柚子姑娘的杂货铺,综合手游,150
丶王老师,绝地求生,150
时代工作室丶路哥,绝地求生,150
皓玚,绝地求生,150
觅清风love,荒岛特训,150
中洲小庐州,问道,149
谁动了我的屁包,王者荣耀,149
吝啬帝丶,绝地求生,149
邻居手心的夜莺,英雄联盟,149
TG糖果丶乐芙兰,英雄联盟,149
张拉风不拉风了,魔兽争霸,149
桃花清酒,绝地求生,149
其琴又兮,绝地求生,148
两袖清风丶小哥,王者荣耀,148
烽火议军情,军事,148
闪现补兵的沈某某,军事,148
灬采蘑菇的小菇凉,绝地求生,148
0v0东东酱,绝地求生,148
木偶的初梦,绝地求生,148
幺柒七七,绝地求生,148
艾利克斯克洛米尔,新游中心,147
龍命,王者荣耀,147
平民老司机,DNF,147
神逐小德,怪物猎人ol,147
大战略灵位,主机游戏,147
剑似流云,剑网3,147
一个美味汤包,主机游戏,147
红猪红色的猪,主机游戏,147
斗鱼阳哥,问道,147
欧阳丨梓轩,英雄联盟,147
風曦云殇,怀旧游戏,147
吃鸡大侠熊,绝地求生,146
闪电PG,主机游戏,146
动感超壬丶SR,综合手游,146
刘不烦,DNF,146
DOUYU丨TM,英雄联盟,146
心惊丶,英雄联盟,146
渣渣流鼻涕,魔兽世界,146
哒梦大梦,二次元手游,146
声优王某人,绝地求生,146
绝地球生体面,绝地求生,146
基灬老湿,绝地求生,146
君临斑斑,奇迹觉醒,145
巴尔加雷斯,怪物猎人 世界,145
逗小鱼儿哟,火影忍者,145
我真的没有钱丶声优鳄,二次元,145
车市场,音乐游戏,145
一个很懒的技术宅,绝地求生,144
刘阿攀,热门网游,144
文枝丶,热门网游,144
柑蕉吉你萝柚,主机游戏,144
白白白的羽毛,王者荣耀,144
美食小张,英雄联盟,144
名0侦0探0小五郎,三国杀,144
24阁,热门网游,144
帅气逼人的瓜皮猴,狼人杀专区,144
绪花酱子,英雄联盟,144
卖蛋黄酥的,财经,144
萌萌呆呆呆萌,二次元,144
丶Lili,英雄联盟,144
